trn_id,emp_id,hr_salary,job_title,emp_name,date,time,coffee_type,purchase_qty,price,total_price,pay_method,customer_name
80dbda09,98845,15,Jr. Barista,Kevin Swanson,2024-08-01,10:17:03,Latte,4,2.0,8.0,Card,Brandon Johnson
a0ee1475,98845,15,Jr. Barista,Kevin Swanson,2024-08-01,09:38:21,Cappuccino,2,2.0,4.0,Cash,Julia Dennis
e7447dc1,82456,15,Sr. Barista,Diana Collins,2024-08-01,05:03:38,Latte,3,2.0,6.0,Card,Nicholas Hernandez
fd99c34d,99854,12,Sr. Barista,Rebecca Edwards,2024-08-01,01:47:53,Cappuccino,3,2.0,6.0,Card,Nicholas Hernandez
427b3d1d,82456,15,Sr. Barista,Diana Collins,2024-08-01,01:35:16,Latte,2,2.0,4.0,Card,Shane Ibarra
630942bc,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,23:32:40,Mocha,3,2.0,6.0,Card,Duane Good
24ac4ed8,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,22:30:22,Mocha,3,2.0,6.0,Cash,Janice Erickson
42202e12,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,21:18:35,Cappuccino,3,2.0,6.0,Cash,Janice Erickson
c164d475,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,19:11:13,Latte,3,2.0,6.0,Cash,Lisa Chandler
d5444b64,22868,15,Jr. Barista,Evelyn Grant,2024-07-31,18:55:23,Latte,2,2.0,4.0,Cash,John Perkins
c798eeab,82456,15,Sr. Barista,Diana Collins,2024-07-31,10:49:07,Espresso,2,1.0,2.0,Card,Carla Shepherd
bd646687,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,08:09:22,Mocha,2,2.0,4.0,Card,Kenneth Oliver
6b7c0508,82456,15,Sr. Barista,Diana Collins,2024-07-31,06:04:43,Latte,3,2.0,6.0,Cash,Janice Erickson
cb4008a8,98845,15,Jr. Barista,Kevin Swanson,2024-07-31,05:37:58,Mocha,1,2.0,2.0,Card,Garrett Guerra
d49e8a20,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,05:25:20,Espresso,2,1.0,2.0,Card,Gerald Galloway
1a53a05b,22868,15,Jr. Barista,Evelyn Grant,2024-07-31,04:31:52,Americano,4,1.25,5.0,Card,Jesse Meyers
b4f2ce2b,99854,12,Sr. Barista,Rebecca Edwards,2024-07-31,02:04:22,Americano,2,1.25,2.5,Cash,Jeffrey Gomez
0368820d,98845,15,Jr. Barista,Kevin Swanson,2024-07-31,00:58:28,Espresso,1,1.0,1.0,Card,Michael Patel
bebf78c9,22868,15,Jr. Barista,Evelyn Grant,2024-07-30,21:17:23,Latte,1,2.0,2.0,Cash,Katherine Hicks
a525d15b,99854,12,Sr. Barista,Rebecca Edwards,2024-07-30,21:07:20,Espresso,2,1.0,2.0,Card,Justin Hudson
cdc9d8f9,99854,12,Sr. Barista,Rebecca Edwards,2024-07-30,17:30:01,Espresso,2,1.0,2.0,Card,John Perkins
8b1940ac,82456,15,Sr. Barista,Diana Collins,2024-07-30,16:51:23,Mocha,2,2.0,4.0,Card,Michael Fletcher DDS
5673e694,98845,15,Jr. Barista,Kevin Swanson,2024-07-30,14:10:54,Mocha,1,2.0,2.0,Card,Rhonda Taylor
ca7d3740,98845,15,Jr. Barista,Kevin Swanson,2024-07-30,13:27:18,Cappuccino,2,2.0,4.0,Card,Rhonda Taylor
13d05716,22868,15,Jr. Barista,Evelyn Grant,2024-07-30,11:16:05,Cappuccino,4,2.0,8.0,Cash,Vincent Wood
2111e446,82456,15,Sr. Barista,Diana Collins,2024-07-30,07:24:30,Espresso,4,1.0,4.0,Card,Luis Henderson
c92de8d6,99854,12,Sr. Barista,Rebecca Edwards,2024-07-30,04:56:25,Latte,1,2.0,2.0,Cash,Melissa Berry
bd71abd4,22868,15,Jr. Barista,Evelyn Grant,2024-07-30,02:07:20,Cappuccino,4,2.0,8.0,Cash,Jennifer Delgado
67ab439e,22868,15,Jr. Barista,Evelyn Grant,2024-07-30,00:39:52,Cappuccino,2,2.0,4.0,Cash,Todd Pierce
5c1e65a2,99854,12,Sr. Barista,Rebecca Edwards,2024-07-29,21:58:50,Cappuccino,2,2.0,4.0,Cash,Lori Perez
54af39d4,82456,15,Sr. Barista,Diana Collins,2024-07-29,20:37:41,Americano,3,1.25,3.75,Cash,Tammy Marshall
8c904415,82456,15,Sr. Barista,Diana Collins,2024-07-29,18:35:18,Espresso,2,1.0,2.0,Card,Harold Ward
07094e6c,82456,15,Sr. Barista,Diana Collins,2024-07-29,18:28:27,Americano,3,1.25,3.75,Card,Michael Fletcher DDS
d38cef69,98845,15,Jr. Barista,Kevin Swanson,2024-07-29,15:38:48,Latte,1,2.0,2.0,Card,Denise Adams
812dff0d,99854,12,Sr. Barista,Rebecca Edwards,2024-07-29,14:40:12,Cappuccino,4,2.0,8.0,Cash,Latoya Chung
f2ae69d2,98845,15,Jr. Barista,Kevin Swanson,2024-07-29,11:32:43,Americano,2,1.25,2.5,Cash,James Jimenez MD
e40953a5,82456,15,Sr. Barista,Diana Collins,2024-07-29,11:04:25,Latte,4,2.0,8.0,Cash,Kenneth Oliver
e027d235,99854,12,Sr. Barista,Rebecca Edwards,2024-07-29,10:59:36,Mocha,3,2.0,6.0,Cash,Elizabeth Jackson
be71e6b6,82456,15,Sr. Barista,Diana Collins,2024-07-29,06:38:41,Mocha,1,2.0,2.0,Card,Alfred Sims
9ff2a8c9,98845,15,Jr. Barista,Kevin Swanson,2024-07-29,06:25:10,Latte,3,2.0,6.0,Cash,Heather Harris
09721f6e,99854,12,Sr. Barista,Rebecca Edwards,2024-07-29,05:36:13,Americano,1,1.25,1.25,Card,Vincent Wood
e32e76db,99854,12,Sr. Barista,Rebecca Edwards,2024-07-29,02:39:13,Americano,1,1.25,1.25,Card,Brandy Johnson
f74e5c88,82456,15,Sr. Barista,Diana Collins,2024-07-28,23:49:38,Mocha,4,2.0,8.0,Cash,Matthew Gonzalez
7d43b22e,98845,15,Jr. Barista,Kevin Swanson,2024-07-28,18:18:11,Espresso,3,1.0,3.0,Cash,Tamara Delgado
7156886d,99854,12,Sr. Barista,Rebecca Edwards,2024-07-28,17:49:41,Latte,1,2.0,2.0,Card,Haley Davis
670fb1e8,82456,15,Sr. Barista,Diana Collins,2024-07-28,17:44:34,Latte,2,2.0,4.0,Card,Nathan Hayes
885a0c23,99854,12,Sr. Barista,Rebecca Edwards,2024-07-28,16:08:37,Mocha,2,2.0,4.0,Card,Madison George
3f17bbec,22868,15,Jr. Barista,Evelyn Grant,2024-07-28,13:31:33,Americano,4,1.25,5.0,Cash,Kristopher Hill
304ee68c,99854,12,Sr. Barista,Rebecca Edwards,2024-07-28,13:16:20,Latte,1,2.0,2.0,Cash,Latoya Chung
e4060baa,82456,15,Sr. Barista,Diana Collins,2024-07-28,12:33:04,Espresso,2,1.0,2.0,Cash,Michael Lewis
3f43bb06,22868,15,Jr. Barista,Evelyn Grant,2024-07-28,12:10:34,Americano,2,1.25,2.5,Cash,Justin Hudson
631b85e7,98845,15,Jr. Barista,Kevin Swanson,2024-07-28,11:46:11,Cappuccino,1,2.0,2.0,Card,Michelle Rogers
58317dbc,22868,15,Jr. Barista,Evelyn Grant,2024-07-28,09:51:25,Cappuccino,2,2.0,4.0,Cash,Stephen Lee
298d20d3,99854,12,Sr. Barista,Rebecca Edwards,2024-07-28,08:14:29,Americano,1,1.25,1.25,Card,Hailey Smith
19160c3c,99854,12,Sr. Barista,Rebecca Edwards,2024-07-27,21:48:39,Cappuccino,3,2.0,6.0,Card,Anthony Velasquez
2d68b86b,82456,15,Sr. Barista,Diana Collins,2024-07-27,21:46:39,Americano,2,1.25,2.5,Card,David Archer
